File,Line,Sentiment,SentimentScore.Mixed,SentimentScore.Negative,SentimentScore.Neutral,SentimentScore.Positive
final_cleaned_google_news_final.csv,2,NEUTRAL,4.079601239936892e-06,0.02554393745958805,0.9653922319412231,0.009059753268957138
final_cleaned_google_news_final.csv,4,NEUTRAL,8.190345397451892e-06,0.040790852159261703,0.937761127948761,0.02143983729183674
final_cleaned_google_news_final.csv,5,NEUTRAL,3.167533577652648e-06,0.016941003501415253,0.9799470901489258,0.0031087533570826054
final_cleaned_google_news_final.csv,6,NEUTRAL,5.969257017568452e-06,0.08911120891571045,0.9056525826454163,0.0052303047850728035
final_cleaned_google_news_final.csv,7,NEUTRAL,4.477230049815262e-06,0.03060702607035637,0.9633992314338684,0.005989262368530035
final_cleaned_google_news_final.csv,15,NEUTRAL,4.092977633263217e-06,0.04457898065447807,0.9493857026100159,0.00603123614564538
final_cleaned_google_news_final.csv,16,NEUTRAL,3.827872205874883e-06,0.029722079634666443,0.9663686156272888,0.003905481891706586
final_cleaned_google_news_final.csv,17,NEUTRAL,7.84723033575574e-06,0.050567448139190674,0.9267773032188416,0.022647405043244362
final_cleaned_google_news_final.csv,18,NEUTRAL,5.062482614448527e-06,0.028772836551070213,0.9647749066352844,0.006447157356888056
final_cleaned_google_news_final.csv,19,NEUTRAL,4.793307198269758e-06,0.044693607836961746,0.9463757872581482,0.008925819769501686
final_cleaned_google_news_final.csv,21,NEUTRAL,3.69299300473358e-06,0.022556137293577194,0.9746296405792236,0.002810488920658827
final_cleaned_google_news_final.csv,24,NEUTRAL,6.477160695794737e-06,0.03369220718741417,0.9458515644073486,0.02044982649385929
final_cleaned_google_news_final.csv,26,NEUTRAL,9.378153663419653e-06,0.08968603610992432,0.8868247270584106,0.02347986027598381
final_cleaned_google_news_final.csv,28,NEUTRAL,9.438032066100277e-06,0.17393839359283447,0.8188578486442566,0.007194282487034798
final_cleaned_google_news_final.csv,30,NEUTRAL,7.84723033575574e-06,0.050567448139190674,0.9267773032188416,0.022647405043244362
final_cleaned_google_news_final.csv,31,NEUTRAL,6.278322871366981e-06,0.027308009564876556,0.951361894607544,0.021323807537555695
final_cleaned_google_news_final.csv,32,NEUTRAL,6.796417437726632e-06,0.06634798645973206,0.9220954775810242,0.011549696326255798
final_cleaned_google_news_final.csv,36,NEUTRAL,4.909519248030847e-06,0.016195060685276985,0.9652062058448792,0.01859384775161743
final_cleaned_google_news_final.csv,43,NEUTRAL,5.034211426391266e-06,0.04909025877714157,0.9426711201667786,0.008233528584241867
final_cleaned_google_news_final.csv,44,NEUTRAL,8.281397640530486e-06,0.2947966456413269,0.6967218518257141,0.008473202586174011
final_cleaned_google_news_final.csv,45,NEUTRAL,7.325736987695564e-06,0.021924877539277077,0.9664936065673828,0.011574099771678448
final_cleaned_google_news_final.csv,48,NEUTRAL,4.4518733375298325e-06,0.027128882706165314,0.9588058590888977,0.014060761779546738
final_cleaned_google_news_final.csv,53,NEUTRAL,3.2756711334513966e-06,0.008049153722822666,0.9863059520721436,0.005641578696668148
final_cleaned_google_news_final.csv,56,NEUTRAL,6.747803126927465e-06,0.05797221511602402,0.9270487427711487,0.014972355216741562
final_cleaned_google_news_final.csv,57,NEUTRAL,5.234914624452358e-06,0.131864994764328,0.8658852577209473,0.0022445081267505884
final_cleaned_google_news_final.csv,60,NEUTRAL,1.3766524716629647e-05,0.05331278219819069,0.9094420671463013,0.037231430411338806
final_cleaned_google_news_final.csv,62,NEUTRAL,3.576181370590348e-06,0.014202965423464775,0.9791060090065002,0.006687453016638756
final_cleaned_google_news_final.csv,63,NEUTRAL,3.8065174976509297e-06,0.020409613847732544,0.9712542295455933,0.008332340978085995
final_cleaned_google_news_final.csv,65,NEUTRAL,8.470161446894053e-06,0.08047334849834442,0.9076630473136902,0.01185518316924572
final_cleaned_google_news_final.csv,70,NEUTRAL,2.6439377052156487e-06,0.020174620673060417,0.9773619771003723,0.0024607726372778416
final_cleaned_google_news_final.csv,71,NEUTRAL,3.2756711334513966e-06,0.008049153722822666,0.9863059520721436,0.005641578696668148
final_cleaned_google_news_final.csv,73,NEUTRAL,7.824849490134511e-06,0.08424415439367294,0.904789924621582,0.010957985185086727
final_cleaned_google_news_final.csv,1,NEUTRAL,7.004429335211171e-06,0.29360318183898926,0.7023711800575256,0.004018614999949932
final_cleaned_google_news_final.csv,9,NEUTRAL,4.0799632188281976e-06,0.04292383790016174,0.953732967376709,0.003339051501825452
final_cleaned_google_news_final.csv,12,NEUTRAL,4.750424977828516e-06,0.04269744083285332,0.9527773261070251,0.0045204441994428635
final_cleaned_google_news_final.csv,22,NEUTRAL,8.702369086677209e-06,0.08204127103090286,0.8961884379386902,0.02176162600517273
final_cleaned_google_news_final.csv,23,NEUTRAL,1.1109249498986173e-05,0.17734295129776,0.8044714331626892,0.018174462020397186
final_cleaned_google_news_final.csv,27,NEUTRAL,1.2380813132040203e-05,0.4144149422645569,0.5743182301521301,0.011254447512328625
final_cleaned_google_news_final.csv,33,NEUTRAL,7.73908232076792e-06,0.16836676001548767,0.8222643136978149,0.009361233562231064
final_cleaned_google_news_final.csv,34,NEUTRAL,4.7541784624627326e-06,0.02645937167108059,0.9656140804290771,0.007921795360744
